y,x1,x2
0.0,0.0,0.0
0.01,0.06279051952931337,0.1503998802771651
0.02,0.12533323356430426,0.2984278645978257
0.03,0.1873813145857246,0.4417494632216135
0.04,0.2486898871648548,0.5781044089220584
0.05,0.3090169943749474,0.7053423027509678
0.06,0.3681245526846779,0.8214565271144263
0.07,0.4257792915650727,0.924615891330947
0.08,0.4817536741017153,1.0131935106024181
0.09,0.5358267949789967,1.0857924629592235
0.1,0.5877852522924731,1.141267819554184
0.11,0.6374239897486896,1.1787447008744263
0.12,0.6845471059286886,1.197632074113926
0.13,0.7289686274214116,1.197632074113926
0.14,0.7705132427757893,1.1787447008744263
0.15,0.8090169943749475,1.1412678195541843
0.16,0.8443279255020151,1.0857924629592233
0.17,0.8763066800438637,1.013193510602418
0.18,0.9048270524660196,0.924615891330947
0.19,0.9297764858882513,0.8214565271144266
0.2,0.9510565162951535,0.7053423027509679
0.21,0.9685831611286311,0.5781044089220587
0.22,0.9822872507286886,0.44174946322161374
0.23,0.9921147013144779,0.2984278645978258
0.24,0.9980267284282716,0.15039988027716544
0.25,1.0,1.4695761589768238e-16
0.26,0.9980267284282716,-0.15039988027716514
0.27,0.9921147013144778,-0.298427864597826
0.28,0.9822872507286886,-0.44174946322161396
0.29,0.9685831611286312,-0.5781044089220579
0.3,0.9510565162951536,-0.7053423027509677
0.31,0.9297764858882515,-0.8214565271144264
0.32,0.9048270524660195,-0.9246158913309472
0.33,0.8763066800438635,-1.0131935106024184
0.34,0.844327925502015,-1.0857924629592237
0.35000000000000003,0.8090169943749475,-1.141267819554184
0.36,0.7705132427757893,-1.1787447008744265
0.37,0.7289686274214114,-1.197632074113926
0.38,0.6845471059286888,-1.197632074113926
0.39,0.6374239897486899,-1.1787447008744265
0.4,0.5877852522924732,-1.1412678195541843
0.41000000000000003,0.5358267949789967,-1.0857924629592235
0.42,0.4817536741017156,-1.0131935106024186
0.43,0.4257792915650729,-0.9246158913309475
0.44,0.36812455268467814,-0.8214565271144267
0.45,0.3090169943749475,-0.705342302750968
0.46,0.24868988716485482,-0.5781044089220584
0.47000000000000003,0.18738131458572457,-0.4417494632216134
0.48,0.12533323356430454,-0.2984278645978264
0.49,0.06279051952931358,-0.15039988027716558
0.5,1.2246467991473532e-16,-2.9391523179536476e-16
0.51,-0.06279051952931335,0.150399880277165
0.52,-0.12533323356430429,0.29842786459782583
0.53,-0.18738131458572477,0.44174946322161385
0.54,-0.24868988716485502,0.5781044089220587
0.55,-0.30901699437494773,0.7053423027509683
0.56,-0.3681245526846783,0.8214565271144271
0.5700000000000001,-0.42577929156507266,0.924615891330947
0.58,-0.481753674101715,1.0131935106024177
0.59,-0.5358267949789964,1.0857924629592233
0.6,-0.587785252292473,1.141267819554184
0.61,-0.6374239897486896,1.1787447008744263
0.62,-0.6845471059286887,1.197632074113926
0.63,-0.7289686274214113,1.197632074113926
0.64,-0.7705132427757894,1.1787447008744263
0.65,-0.8090169943749473,1.1412678195541843
0.66,-0.8443279255020153,1.085792462959223
0.67,-0.8763066800438636,1.0131935106024181
0.68,-0.9048270524660198,0.9246158913309462
0.6900000000000001,-0.9297764858882515,0.8214565271144261
0.7000000000000001,-0.9510565162951535,0.705342302750968
0.71,-0.968583161128631,0.5781044089220594
0.72,-0.9822872507286887,0.44174946322161357
0.73,-0.9921147013144778,0.29842786459782655
0.74,-0.9980267284282716,0.15039988027716467
0.75,-1.0,4.408728476930471e-16
0.76,-0.9980267284282716,-0.1503998802771638
0.77,-0.9921147013144779,-0.2984278645978257
0.78,-0.9822872507286887,-0.4417494632216127
0.79,-0.9685831611286311,-0.5781044089220586
0.8,-0.9510565162951536,-0.7053423027509673
0.81,-0.9297764858882512,-0.821456527114427
0.8200000000000001,-0.9048270524660196,-0.9246158913309469
0.8300000000000001,-0.8763066800438634,-1.0131935106024188
0.84,-0.8443279255020155,-1.0857924629592226
0.85,-0.8090169943749476,-1.141267819554184
0.86,-0.7705132427757896,-1.178744700874426
0.87,-0.7289686274214116,-1.197632074113926
0.88,-0.684547105928689,-1.197632074113926
0.89,-0.6374239897486896,-1.1787447008744263
0.9,-0.5877852522924734,-1.1412678195541845
0.91,-0.5358267949789963,-1.085792462959223
0.92,-0.4817536741017153,-1.0131935106024181
0.93,-0.4257792915650722,-0.9246158913309462
0.9400000000000001,-0.36812455268467786,-0.8214565271144262
0.9500000000000001,-0.3090169943749477,-0.7053423027509681
0.96,-0.24868988716485535,-0.5781044089220596
0.97,-0.18738131458572468,-0.4417494632216137
0.98,-0.12533323356430465,-0.2984278645978267
0.99,-0.06279051952931326,-0.1503998802771648
1.0,-2.4492935982947064e-16,-5.878304635907295e-16
1.01,0.06279051952931278,0.15039988027716364
1.02,0.12533323356430418,0.29842786459782555
1.03,0.1873813145857242,0.44174946322161257
1.04,0.24868988716485488,0.5781044089220585
1.05,0.3090169943749472,0.7053423027509672
1.06,0.3681245526846782,0.8214565271144268
1.07,0.42577929156507255,0.9246158913309469
1.08,0.48175367410171566,1.0131935106024186
1.09,0.5358267949789967,1.0857924629592235
