Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,10.471228195618394,10.527415170230299,10.402270967489248,10.509537696838379,48051995,0.0,0.0
1996-01-02,10.483996683796477,10.535075803334715,10.351190721130738,10.427809715270996,77875009,0.0,0.0
1996-01-03,10.598925345929418,11.081623379666139,10.483996852865648,10.506982803344727,96602936,0.0,0.0
1996-01-04,10.407377258627996,10.440578903327053,10.269463461030846,10.409931182861328,100099436,0.0,0.0
1996-01-05,10.36906859082516,10.36906859082516,10.249032253306616,10.338420867919922,76935930,0.0,0.0
1996-01-08,10.317991127155368,10.325652901693973,9.822522780667446,9.924681663513184,86288584,0.0,0.0
1996-01-09,9.630975445039201,9.807198128605581,9.309175913282445,9.638636589050293,179415702,0.0,0.0
1996-01-10,9.44964500155701,9.676947452926127,9.347486752095039,9.39090347290039,127653926,0.0,0.0
1996-01-11,9.296406890424125,9.73057973105292,9.283636638004296,9.684608459472656,189051436,0.0,0.0
1996-01-12,9.75612254978112,9.830187648212677,9.518604331235364,9.582453727722168,172918416,0.0,0.0
1996-01-15,9.554356779864627,9.602881977831599,9.429213212808973,9.4828462600708,92291448,0.0,0.0
1996-01-16,9.449644715620765,9.55180296199154,9.418996989843196,9.500723838806152,100259719,0.0,0.0
1996-01-17,9.449644648381343,9.462414271670365,9.043565590463706,9.122737884521484,138279150,0.0,0.0
1996-01-18,8.890326375851044,9.035901950424027,8.775397892978212,8.869894981384277,174217485,0.0,0.0
1996-01-19,8.747308216287136,8.857127627131062,8.655365022117001,8.714106559753418,149773006,0.0,0.0
1996-01-22,8.74219871258118,8.977162946613541,8.73453693804739,8.862235069274902,156270292,0.0,0.0
1996-01-23,8.892881141926214,8.931190639843392,8.019427611810482,8.486802101135254,163795200,0.0,0.0
1996-01-24,8.412736813976021,8.463815929509833,8.070505921334005,8.195650100708008,162072156,0.0,0.0
1996-01-25,8.177774408904074,8.213530618871506,7.80234301956918,7.850868225097656,166534879,0.0,0.0
1996-01-26,7.850868225097656,7.850868225097656,7.850868225097656,7.850868225097656,0,0.0,0.0
1996-01-29,7.8151133716602486,8.542991522285526,7.766588161618563,8.468926429748535,301314299,0.0,0.0
1996-01-30,8.734535114214307,9.653959829938668,8.606837009651066,9.230003356933594,490083300,0.0,0.0
1996-01-31,9.143169652880278,9.48795324992842,8.79838542616631,9.028241157531738,337615209,0.0,0.0
1996-02-01,8.93885312458128,9.44964500155701,8.91331387704872,9.39090347290039,295555091,0.0,0.0
1996-02-02,9.6411892843108,10.522305108459419,9.6411892843108,10.409931182861328,377841766,0.0,0.0
1996-02-05,10.982018376218857,11.503025245372916,10.652557094519995,11.275723457336426,564175497,0.0,0.0
1996-02-06,11.54644451207248,11.748207078952914,10.09324249000214,10.33076000213623,573328443,0.0,0.0
1996-02-07,9.75867532363777,10.62446660974159,9.656516433839622,10.522308349609375,413246254,0.0,0.0
