x,y
0.0,1.0
0.01,0.9880961965576364
0.02,0.972469513996579
0.03,0.9532562751312995
0.04,0.9306044721531618
0.05,0.9046729426630928
0.06,0.875630518570151
0.07,0.8436551518030317
0.08,0.8089330207962939
0.09,0.7716576217116539
0.1,0.7320288483374399
0.11,0.6902520645765731
0.12,0.6465371733857052
0.13,0.601097685965875
0.14,0.5541497949287874
0.15,0.5059114550731466
0.16,0.4566014753030234
0.17,0.40643862510565754
0.18,0.3556407588800999
0.19,0.304423961271409
0.2,0.2530017165184952
0.21,0.20158410466793486
0.22,0.15037702734196487
0.23,0.09958146557723845
0.24,0.04939277207260155
0.25,4.7687794308092406e-17
0.26,-0.048414729656506894
0.27,-0.09567682046192139
0.28,-0.1416197510164914
0.29,-0.18608558219068497
0.3,-0.2289254199332609
0.31,-0.26999983267800504
0.32,-0.30917922257589586
0.33,-0.3463441499797527
0.34,-0.3813856108070553
0.35000000000000003,-0.41420526660281487
0.36,-0.4447156273174044
0.37,-0.47284018700339114
0.38,-0.4985135128200031
0.39,-0.5216812879132213
0.4,-0.5423003089130293
0.41000000000000003,-0.5603384389564919
0.42,-0.575774517305511
0.43,-0.5885982267808371
0.44,-0.5988099203787294
0.45,-0.6064204085731217
0.46,-0.6114507089339045
0.47000000000000003,-0.6139317598106084
0.48,-0.6139040999401089
0.49,-0.6114175159366815
0.5,-0.6065306597126334
0.51,-0.599310637957647
0.52,-0.5898325758747691
0.53,-0.5781791574305947
0.54,-0.5644401444265842
0.55,-0.548711876737615
0.56,-0.5310967560928688
0.5700000000000001,-0.5117027157930547
0.58,-0.4906426787669097
0.59,-0.4680340063690513
0.6,-0.44399794031078677
0.61,-0.41865904009563615
0.62,-0.392144618302373
0.63,-0.36458417602061965
0.64,-0.3361088406977778
0.65,-0.306850808601694
0.66,-0.27694279404130434
0.67,-0.24651748741803017
0.68,-0.2157070241042483
0.6900000000000001,-0.1846424660622807
0.7000000000000001,-0.1534532980283916
0.71,-0.12226693999182325
0.72,-0.0912082775993466
0.73,-0.06039921201171349
0.74,-0.029958230630230603
0.75,-8.677232802578295e-17
0.76,0.029365017918369662
0.77,0.0580309250339763
0.78,0.08589672101237117
0.79,0.11286661092912575
0.8,0.13885028597711233
0.81,0.16376317663649118
0.8200000000000001,0.1875266778383972
0.8300000000000001,0.21006834577483077
0.84,0.23132206612770856
0.85,0.25122819360905246
0.86,0.26973366282134276
0.87,0.2867920705618117
0.88,0.3023637298063788
0.89,0.31641569571774253
0.9,0.3289217641273845
0.91,0.33986244304262825
0.92,0.34922489782703464
0.93,0.35700287079506743
0.9400000000000001,0.3631965760497802
0.9500000000000001,0.36781257047506016
0.96,0.37086360187143846
0.97,0.3723684352964664
0.98,0.37235165873696474
0.99,0.370843469300935
1.0,0.36787944117144233
1.01,0.3635002766132509
1.02,0.3577515413653256
1.03,0.35068338578847313
1.04,0.34235025316735024
1.05,0.3328105765898229
1.06,0.3221264658442473
1.07,0.31036338578670764
1.08,0.29758982763566727
1.09,0.28387697465096745
1.1,0.2692983636477518
1.11,0.25392954378386395
1.12,0.23784773404169696
1.1300000000000001,0.2211314808025731
1.1400000000000001,0.2038603168836716
1.1500000000000001,0.18611442337454026
1.16,0.16797429557253257
1.17,0.14952041427435894
1.18,0.13083292363459892
1.19,0.11199131675172297
1.2,0.09307413008823978
1.21,0.07415864777428555
1.22,0.055320616783584735
1.23,0.03663397390758784
1.24,0.018170585387977018
1.25,8.771679560379862e-17
1.26,-0.017810783690502017
1.27,-0.03519753524459199
1.28,-0.052098994862785714
1.29,-0.06845705998637173
1.3,-0.08421695555498572
1.31,-0.09932738756196724
1.32,-0.1137406796230417
1.33,-0.12741289234754968
1.34,-0.14030392537452863
1.35,-0.1523776020081118
1.36,-0.16360173645773435
1.37,-0.1739481837582079
1.3800000000000001,-0.18339287251263547
1.3900000000000001,-0.19191582066711418
1.4000000000000001,-0.19950113459002566
1.41,-0.20613699179019254
1.42,-0.21181560766710825
1.43,-0.21653318674263614
1.44,-0.22028985887684283
1.45,-0.2230896010208377
1.46,-0.224940145106487
1.47,-0.22585287271652676
1.48,-0.22584269721882455
1.49,-0.2249279340852178
1.5,-0.22313016014842982
1.51,-0.2204740625799598
1.52,-0.2169872783975224
1.53,-0.21270022533254254
1.54,-0.20764592490637998
1.55,-0.20185981857836718
1.56,-0.19537957783941046
1.57,-0.1882449091318583
1.58,-0.18049735447963014
1.59,-0.1721800887122778
1.6,-0.16333771416280363
1.61,-0.15401605371175495
1.62,-0.14426194303946543
1.6300000000000001,-0.13412302293441622
1.6400000000000001,-0.12364753248867988
1.6500000000000001,-0.11288410399139641
1.6600000000000001,-0.10188156030837278
1.67,-0.09068871551033321
1.68,-0.07935417948422606
1.69,-0.06792616723150889
1.7,-0.056452313524599555
1.71,-0.04497949355793426
1.72,-0.03355365019345761
1.73,-0.022219628362064512
1.74,-0.01102101714273446
1.75,-7.448409626763028e-17
1.76,0.01080278638179918
1.77,0.02134838427216087
1.78,0.031599637724490495
1.79,0.04152130575552135
1.8,0.051080165611755
1.81,0.060245105905492397
1.82,0.06898720944792675
1.83,0.07727982565145401
1.84,0.08509863241768492
1.85,0.09242168747140911
1.86,0.09922946914384198
1.87,0.1055049066506802
1.8800000000000001,0.11123339995168367
1.8900000000000001,0.11640282931851621
1.9000000000000001,0.12100355477630713
1.9100000000000001,0.12502840562168327
1.92,0.1284726602557635
1.93,0.13133401660468993
1.94,0.1336125534325744
1.95,0.1353106828821969
1.96,0.13643309460729305
1.97,0.1369866918867484
1.98,0.1369805201354142
1.99,0.13642568824850687
2.0,0.1353352832366127
2.0100000000000002,0.1337242786261474
2.02,0.1316094371156981
2.0300000000000002,0.12900920799197277
2.04,0.1259436198201066
2.05,0.12243416893180965
2.06,0.11850370424131346
2.07,0.11417630892329086
2.08,0.10947717948891512
2.09,0.10443250279603775
2.1,0.09906933152711886
2.11,0.09341545866412727
2.12,0.08749929148315333
2.13,0.08134972558306432
2.14,0.07499601945219829
2.15,0.06846767006497122
2.16,0.061794289986389805
2.17,0.05500548644697375
2.18,0.04813074283352217
2.19,0.04119930302267776
2.2,0.0342400589643796
2.21,0.02728144190123402
2.22,0.020351317587604594
2.23,0.013476885849012544
2.24,0.006684584798286798
2.25,5.808457034653511e-17
